City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Sao Felix Do Xingu,BR,71.06,broken clouds,-6.6447,-51.995,Hotel Terraço
364,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Ocean Centre Hotel
365,Umm Lajj,SA,72.59,clear sky,25.0213,37.2685,No hotel found
369,Fare,PF,80.11,overcast clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
373,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Fidji Motel
374,Yanam,IN,74.59,overcast clouds,16.7333,82.2167,No hotel found
375,Sur,OM,72.7,clear sky,22.5667,59.5289,Sur Hotel
376,Tual,ID,83.48,overcast clouds,-5.6667,132.75,Suita
378,West Bay,KY,78.01,few clouds,19.3667,-81.4167,Bonnie's Arch
379,Gigmoto,PH,82.29,broken clouds,13.7796,124.39,No hotel found
384,Pekan,MY,76.96,light rain,3.4836,103.3996,Ancasa Royale Hotel
386,Jizan,SA,74.34,clear sky,17.3333,42.6667,No hotel found
392,Wiwili,NI,70.38,scattered clouds,13.6268,-85.8254,Hotel Victoria
394,Port Hedland,AU,91.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
396,Sao Miguel Do Araguaia,BR,78.1,heavy intensity rain,-13.275,-50.1628,Hotel São Miguel
403,Kieta,PG,82.54,moderate rain,-6.2167,155.6333,No hotel found
405,Dingle,PH,83.35,broken clouds,10.9995,122.6711,No hotel found
406,Omboue,GA,74.59,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
407,Carmen,MX,77.74,few clouds,18.6333,-91.8333,Holiday Inn Express
408,Clarence Town,AU,77.14,broken clouds,-32.5833,151.7833,Erringhi Hotel
413,Rio De Janeiro,BR,74.95,overcast clouds,-22.9028,-43.2075,Ibis Rio porto atlantico
419,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,No hotel found
420,Buenavista,PH,83.86,overcast clouds,8.9769,125.4089,Hotel Casa Paulino
421,Davila,PH,84.18,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
428,Calderitas,MX,75.76,overcast clouds,18.55,-88.25,No hotel found
432,Cabo Rojo,PR,73.96,few clouds,18.0866,-67.1457,No hotel found
433,Natal,BR,79.45,few clouds,-5.795,-35.2094,Natal Palace Hotel
435,Karaton,ID,81.72,overcast clouds,-6.3424,106.1045,No hotel found
438,Nouakchott,MR,73.33,clear sky,18.0858,-15.9785,فندق أدرار
444,Kloulklubed,PW,83.75,overcast clouds,7.0419,134.2556,The Adventures Inn
451,Bombay,IN,82.38,haze,19.0144,72.8479,Hotel City Point
454,Mecca,SA,73.29,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
456,Guanaja,HN,80.71,overcast clouds,16.4,-85.9,Hotel Alexander
463,Cayenne,GF,77.04,scattered clouds,4.9333,-52.3333,Central Hôtel
466,Nova Venecia,BR,74.98,moderate rain,-18.7106,-40.4006,No hotel found
469,Kralendijk,BQ,80.04,scattered clouds,12.15,-68.2667,Hotel Bonaire Inn
472,Maragogi,BR,77.61,clear sky,-9.0122,-35.2225,Pousada Mariluz
480,Tautira,PF,79.25,light rain,-17.7333,-149.15,No hotel found
